ID,URL,County,Desc_short,Status,District,Cost_estimate,Desc_long,Manager,Type
0001757,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001757,"Forsyth , Fulton",SR 400 - Phase 1 Db,COMPLETED-CONSTRUCTION,7,2823262643.0,"Major Mobility Investment Program (MMIP); Design-Build-Finance delivery of SR 400, one of the most congested facilities in metro Atlanta. The addition of Express Lanes (EL) to this corridor will provide reliable trip times from I-285 to McFarland Road. The proposed Express Lanes will be constructed to directly connect to the the future I-285 Top End Express Lanes. This mobility enhancing project would consist of: Â· Two Express Lanes in each direction along SR 400 between the North Springs MARTA station and McGinnis Ferry Road. Â· One Express Lane in each direction from McGinnis Ferry Road to just north of McFarland Road. Intermediate access points to the ELs would be provided throughout the corridor.",Beau J. Quarles,Reconstruction/Rehabilitation
0001809,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001809,Laurens,SR 257 From S Of I-16 To N Of Dexter,PRE-CONSTRUCTION,12,11374554.0,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0001815,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001815,Gwinnett,CR 494/Rock Bridge Road Grade Separation @ CSX Rr,PRE-CONSTRUCTION,13,6308000.0,No description.,Albert V. Shelby III,New Construction
0001816,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001816,Barrow,CR 326/6Th  Street Grade Separation @ CSX Rr,PRE-CONSTRUCTION,10,6308000.0,No description.,Albert V. Shelby III,New Construction
0001817,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001817,Clayton,Cw Grant Pkwy (CR 1516) - Widening & Reconstruction,COMPLETED-CONSTRUCTION,5,61687379.93,This project proposes to relocate Conley Road south on new location to align with CW Grant Pkwy. CW Grant Pkwy/Conley Road will then be grade separated under Norfolk Southern Railroad and Old Dixie Highway. CW Grant Pkwy/Conley Road is proposed to be constructed/widened to a four (4) lane roadway (two lanes in each direction) separated by a 20 ft wide raised median from existing CW Grant Pkwy to I-285 for 1.13 miles. The relocation of Conley Road realigns with existing Conley Road at Ellery Drive. This project also proposes to relocate SR 3/Old Dixie Road to the east approximately 600 feet and provide a new connection from existing CW Grant Pkwy to Old Dixie Highway.,Obi Ezenekwe,New Construction
0001820,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001820,Dodge,SR 117 Realignment In Rhine,PRE-CONSTRUCTION,8,4470333.98,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0001821,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001821,Hall,Mcever Road From SR 347 To CS 537/Gainesville Street,PRE-CONSTRUCTION,7,49886399.29,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0001822,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001822,Hall,SR 13/Atlanta Hwy From CR 528/Radford RD To S Of SR 53,PRE-CONSTRUCTION,9,87260830.84,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0001823,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0001823,Elbert,SR 72 Realign Bet CR 76/ Dove CR Church RD And CR 75,PRE-CONSTRUCTION,10,4318077.28,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0002391,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002391,Clarke,SR 15/US 441 From Loop 10 North To Clarke County Line,PRE-CONSTRUCTION,10,24954699.57,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0002392,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002392,Forsyth,SR 20 - Widening & Reconstruction,COMPLETED-CONSTRUCTION,7,42835103.79,"Widening and reconstruction of SR 20 from just south of Samples Road/CR 80 to James Burgess Road/CR 450 for a total of 2.68 miles. SR 20 is major east-west route connecting SR 400, I-85, and I-985. In this section, SR 20 is currently a two lane road with a center two-way left turn lane from east of SR 400 to just north of Windermere Parkway. The proposed construction will provide two lanes in each direction with a 44' grass median. This section includes two, 12' travel lanes in each direction, 4' paved inside shoulders, and a 16' outside shoulder, which will include curb and gutter. A 5' sidewalk will be provided on both sides of SR 20. With SR 20 experiencing high traffic volumes, the widening of this section of roadway will reduce congestion and improve safety on this important east-west arterial.",Brandon W. Kirby,Reconstruction/Rehabilitation
0002393,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002393,Gwinnett,SR 13 From Sugarloaf Pkwy To SR 20 In Buford,PRE-CONSTRUCTION,9,119610926.0,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0002525,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002525,Cherokee,SR 372 Spur From SR 5Bu@ Howell Br RD To SR 372 So/Ball Ground,PRE-CONSTRUCTION,7,38100154.91,This project is a local project that proposes a Bypass around the City of Ball Ground. The Bypass is proposed from Howell Bridge road towards SR372 in an easterly direction.,Ethan Mobley,New Construction
0002862,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002862,"Cherokee , Forsyth",SR 20 - Widening Reconstruction,UNDER-CONSTRUCTION,7,176445287.8,Â¿PI 0002862 is the widening and reconstruction of SR 20 from east of SR 369 in Cherokee County to west of SR 371 in Forsyth County to six lanes (three lanes in each direction) with a 20-foot raised median and urban shoulders. Access to side roads and driveways will be controlled by Restricted Crossing U-turns (RCUTs) placed in the median; RCUT locations are shown in the layouts but may change based on preliminary design. Truck turnarounds are provided at certain RCUT locations based on the consideration of adjacent facilities that may draw tractor-trailers. The total project length is about 6.3 miles. There are no bridges or other major structures. This project begins where PI 0014133 ends with the SR 369 intersection being constructed with PI 0014133 and ends where PI 0003682 begins with the SR 371 intersection being constructed with PI 0003682.Â¿,Adolfo Villarroel,Reconstruction/Rehabilitation
0002863,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002863,Terrell,SR 50/US 82 From W Of SR 45 To SR 520,PRE-CONSTRUCTION,2,28166450.12,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0002864,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002864,Randolph,SR 50/US 82 From W Of SR 41 To E Of SR 41 @ Terrell CO Line,PRE-CONSTRUCTION,2,12589782.43,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0002865,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002865,"Ben Hill , Irwin",SR 11/SR 107/US 319 From SR 32/Irwin To SR 206/Ben Hill,PRE-CONSTRUCTION,8,68159972.88,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0002866,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002866,Bartow,SR 3 From CSX Rr To SR 3/SR 20,PRE-CONSTRUCTION,11,41095322.12,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0002868,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002868,DeKalb,Panola RD @ I-20 From Fairington RD To Snapfinger Woods Dr,PRE-CONSTRUCTION,4,49157241.31,"This project proposes reconstruction of the Panola Road at I-20 Interchange as a Diverging Diamond Interchange (DDI) in order to improve traffic, multi-modal transportation and safety. The project will also provide a new bridge capable of providing adequate clearance for future widening along I-20.",Gretel Sims,Reconstruction/Rehabilitation
0002869,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002869,Talbot,SR 90 Passing Lanes @ Two Locations Between SR 96 To SR 208,PRE-CONSTRUCTION,2,6215944.0,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0002923,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002923,Chatham,SR 25/West Bay Street - Widening & Rcns,COMPLETED-CONSTRUCTION,1,23386012.92,"This project is a roadway safety improvement in Savannah, Chatham County. ARRA funds will be used to acquire right of way for this project. The project will improve SR 25 Connector/West Bay Street between West Lathrop Avenue and East Lathrop Avenue. The proposed improvements will connect the existing four-lane divided section at the west end of the project with the existing five-lane undivided section at the east end of the project. The length is approximately 1.1 miles. The proposed project includes four 12-foot travel lanes with a variable width (20' to 64') raised median that would separate eastbound and westbound traffic. Left and right turn lanes would be added or improved where appropriate. The project includes outside curb and gutter with 16-foot shoulders with five-foot wide sidewalks, constructed in compliance with (ADA) requirements.",David Gerald Moyer,Reconstruction/Rehabilitation
0002981,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002981,Quitman,SR 50 From W Of SR 39/SR 27 To E Of SR 39 East Of Georgetown,PRE-CONSTRUCTION,2,23553426.01,"Proj. widens w/ shldr & inter. imprvmts for 2.9 mi. along US 82/ SR 50 f/ W of SR 39/SR 27 to E of SR 39. Sdwlk constructed S side of SR 50 f/ 600' before Harrison St. to Hillcrest Rd. SR 50 widens to include 2 ln & Flh. med., c & g, & sdwlk f/ Hillcrest Rd to Kaigler Rd. Shldr imprvmts along SR 50 f/ Kaigler Rd to SR 39. Inter. imprvmts @ SR 50 & SR 39/SR 27, SR 50 & Kaigler Rd, & SR 50 & SR 39 inters. SB rt-turn ln added on SR 39/SR 27 @ inter. w/ SR 50. SR 50 & Kaigler Rd inter., SB rt-turn ln added on Kaigler Rd, & EB lt-turn ln added on SR 50. SR 50 & SR 39 inter., NB rt-turn lane added on SR 39, & WB lt-turn lane added on SR 50. Passing lane added btw Co. Rd No. 4 & Roberts Rd South. Extg vertical profile maintained except @ 2 locations upgraded to meet current stopping sight distance criteria. Extg trpl 10' by 10' box culv located on SR 50 approx. 315' E of Lower Lumpkin Rd over Tobannee Crk. Proj. 100% in Quitman Co. & begin. proj. to Tobannee Crk, in Georgetown city limits.",Albert V. Shelby III,Reconstruction/Rehabilitation
0003061,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0003061,Murray,SR 225 Bypass From SR 52/US 76 To SR 225,PRE-CONSTRUCTION,14,9437000.0,No description.,Albert V. Shelby III,New Construction
0003626,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0003626,Hall,Sardis RD Conn - Widening & Reconstruction,UNDER-CONSTRUCTION,7,85510697.97,"The SARDIS ROAD CONNECTOR is the widening and reconstruction of several existing local roads and streets with some new roadway on new alignment. This project STP-0003-00(626) begins at the Sardis Road /Chestatee Road intersection and extends north to SR 60 in the vicinity of the intersection with Mt. Vernon Road. The alignment follows several existing local roads with some of the roadway on new location. The total project length is approximately 3.55 miles and will provide a connector roadway between S.R. 53 to the south and S.R. 60 to the north. The proposed roadway will consist of a four lane curb and gutter divided roadway, 2 lanes in each direction separated with a 20 foot wide, 6 inch high curb and gutter median. Sidewalk will be provided on both sides of the road.",Kesha Wynn,Reconstruction/Rehabilitation
0003627,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0003627,Dawson,SR 9 Passing Lanes From Thompson RD To Jenkins RD,PRE-CONSTRUCTION,7,6859308.63,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
0003628,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0003628,Bartow,SR 293 North Ramp To SR 20/US 411 West,PRE-CONSTRUCTION,11,12482725.04,No description.,Albert V. Shelby III,New Construction
0003682,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0003682,Forsyth,SR 20 - Widening,UNDER-CONSTRUCTION,7,195129339.2,This project proposes to widen SR 20 from west of Post Road to east of N Corners Parkway in Forsyth County. The project will widen SR 20 to six lanes (three lanes in each direction) separated by a 20 ft raised median. There will be urban shoulders with curb and gutter and a 5ft sidewalk on both sides of the road. Auxiliary turn lanes will be added at major driveways and intersections. Access to side roads and driveways will be controlled by Restricted Crossing U-Turns (RCUTs) placed in the median; truck turnarounds are provided at certain RCUT locations based on consideration of adjacent facilities that may draw tractor trailers.,David B. Lott,Reconstruction/Rehabilitation
0003701,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0003701,Hall,SR 13 From I-985 To & Along Memorial Pk Dr To SR 369,PRE-CONSTRUCTION,9,29375280.0,The proposed improvements contained in this concept serve two (2) primary purposes. The first purpose of this project is to provide additional traffic capacity and improved access to accommodate existing and future traffic volumes in the project corridor. The second purpose of this project is to improve traffic flow by establishing a continuous roadway from I-985 to S.R. 53 bypassing the City of Gainesville. This will improve traffic safety and promote the orderly flow of traffic by providing a continuous roadway with median breaks and designated left-turn lanes at major intersections.,Albert V. Shelby III,Reconstruction/Rehabilitation
0004295,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0004295,"Dade , Walker",SR 560/East-West Highway From I-59/Dade CO To SR 157/Walker Co,PRE-CONSTRUCTION,14,45900000.0,No description.,Albert V. Shelby III,New Construction
0004296,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0004296,Walker,SR 560/East-West Highway From SR 157 To US 27,PRE-CONSTRUCTION,14,75500000.0,No description.,Albert V. Shelby III,New Construction
0004297,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0004297,"Catoosa , Walker",SR 560/East-West Highway From US 27/Walker To SR 151/Catoosa,PRE-CONSTRUCTION,14,25000000.0,No description.,Albert V. Shelby III,New Construction
0004298,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0004298,"Catoosa , Whitfield",SR 560/East-West Hwy From SR 151/Catoosa To SR 3/Whitfield,PRE-CONSTRUCTION,14,132900000.0,No description.,Albert V. Shelby III,New Construction
0004299,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0004299,Whitfield,SR 560/East-West Highway From I-75 To SR 52,PRE-CONSTRUCTION,14,108276483.4,No description.,Albert V. Shelby III,Reconstruction/Rehabilitation
